"exec","numthreads","time"
"jetson","1","10.4666759354897"
"jetson","2","20.3492818568855"
"jetson","3","27.1458942513592"
"jetson","4","29.2765615264018"
"jetson","5","26.4177062034058"
"jetson","6","28.4242451231101"
"jetson","7","28.8996320595178"
"jetson","8","31.1345588933532"
"jetson","9","30.5803383714441"
"jetson","10","31.6098751357249"
"jetson","20","31.076634462641"
"jetson","30","28.6018145944573"
"jetson","40","31.3732051912197"
"jetson","50","28.074444067519"
"jetson","100","27.2478450360557"
"jetson","300","17.455550894277"
"wash","1","28.4485309178634"
"wash","2","31.6898953599655"
"wash","3","44.5820543856481"
"wash","4","52.3249729654306"
"wash","5","57.0690478409828"
"wash","6","62.3877021361549"
"wash","7","67.2591450017487"
"wash","8","70.6515723507427"
"wash","9","71.8272124577117"
"wash","10","73.3879421164838"
"wash","20","81.3930143088919"
"wash","30","84.0025536776318"
"wash","40","87.2988851932361"
"wash","50","78.8967084293243"
"wash","100","68.9932731558673"
"wash","300","44.7774226264794"
"marszx3","1","4.76470799844385"
"marszx3","2","9.05016142471261"
"marszx3","3","7.96970237943434"
"marszx3","4","9.10687648100579"
"marszx3","5","8.81741945875152"
"marszx3","6","9.09682478363202"
"marszx3","7","9.12344245730799"
"marszx3","8","9.24935474188982"
"marszx3","9","9.0069898744921"
"marszx3","10","9.00554471388033"
"marszx3","20","8.82765374352105"
"marszx3","30","8.54122071411153"
"marszx3","40","8.82530745164835"
"marszx3","50","8.0783851092743"
"marszx3","100","7.05760962055703"
"marszx3","300","4.74433265742407"
"pi","1","2.13244456834737"
"pi","2","2.15792221438497"
"pi","3","2.13856900648927"
"pi","4","2.15778857742969"
"pi","5","2.1136436436976"
"pi","6","2.04265367266577"
"pi","7","2.17636973910224"
"pi","8","2.13831779964247"
"pi","9","2.13040220289269"
"pi","10","2.13736190905461"
"pi","20","1.76897911154086"
"pi","30","2.05218831167254"
"pi","40","2.14603465373838"
"pi","50","1.94650782384221"
"pi","100","1.62107220958086"
