"exec","numthreads","time"
"bimage_nothread","1","2.112793"
"bimage_nothread","2","2.096035"
"bimage_nothread","3","2.108799"
"bimage_nothread","4","2.102602"
"bimage_nothread","5","2.111662"
"bimage_nothread","6","2.113297"
"bimage_nothread","7","2.102424"
"bimage_nothread","8","2.107528"
"bimage_nothread","9","2.052271"
"bimage_nothread","10","2.106320"
"bimage_nothread","20","2.113842"
"bimage_nothread","30","2.135169"
"bimage_nothread","40","2.119650"
"bimage_nothread","50","2.080229"
"bimage_nothread","100","2.214787"
"bimage_thread","1","2.159142"
"bimage_thread","2","2.360196"
"bimage_thread","3","1.887525"
"bimage_thread","4","1.683442"
"bimage_thread","5","1.567383"
"bimage_thread","6","1.461333"
"bimage_thread","7","1.427314"
"bimage_thread","8","1.362768"
"bimage_thread","9","1.340450"
"bimage_thread","10","1.377165"
"bimage_thread","20","1.269206"
"bimage_thread","30","1.268193"
"bimage_thread","40","1.213647"
"bimage_thread","50","1.366323"
"bimage_thread","100","1.501586"
"bimage_threadpool","1","2.771931"
"bimage_threadpool","2","2.089645"
"bimage_threadpool","3","2.035988"
"bimage_threadpool","4","1.786895"
"bimage_threadpool","5","1.820739"
"bimage_threadpool","6","1.612954"
"bimage_threadpool","7","1.616927"
"bimage_threadpool","8","1.686565"
"bimage_threadpool","9","1.596118"
"bimage_threadpool","10","1.673263"
"bimage_threadpool","20","1.640880"
"bimage_threadpool","30","1.576234"
"bimage_threadpool","40","1.507439"
"bimage_threadpool","50","1.586725"
"bimage_threadpool","100","1.630287"
