"exec","numthreads","time"
"jetson","1","9.56751331718124"
"jetson","2","9.98869945135403"
"jetson","3","9.85660447532555"
"jetson","4","9.30763020909281"
"jetson","5","9.63238484845128"
"jetson","6","9.19152002617745"
"jetson","7","9.56481677796394"
"jetson","8","9.74027555239538"
"jetson","9","10.1744235341199"
"jetson","10","10.0173851719659"
"jetson","20","10.2052271173295"
"jetson","30","9.6682579007795"
"jetson","40","10.0606658148636"
"jetson","50","10.2411290913097"
"jetson","100","10.2256006091731"
"jetson","300","9.04227126180827"
"wash","1","29.14637552676"
"wash","2","28.9599749013551"
"wash","3","29.0516383187236"
"wash","4","29.1311064868177"
"wash","5","29.4496594883122"
"wash","6","28.7393760106681"
"wash","7","29.0544659861788"
"wash","8","28.8948444373813"
"wash","9","28.7899718769958"
"wash","10","28.9364271518212"
"wash","20","29.1981175000377"
"wash","30","28.831391619195"
"wash","40","28.9475537869672"
"wash","50","29.1724505101532"
"wash","100","28.8922007911648"
"wash","300","28.9864594585716"
"marszx3","1","4.50703548238801"
"marszx3","2","4.50572531251148"
"marszx3","3","4.48594240229393"
"marszx3","4","4.51074538488724"
"marszx3","5","4.47999068161938"
"marszx3","6","4.47881988470622"
"marszx3","7","4.50995776123893"
"marszx3","8","4.48138466420873"
"marszx3","9","4.48919641214444"
"marszx3","10","4.5014697298668"
"marszx3","20","4.4882430473375"
"marszx3","30","4.49468806527725"
"marszx3","40","4.48114502217607"
"marszx3","50","4.50505918146078"
"marszx3","100","4.47991173976551"
"marszx3","300","4.48629593611873"
"pi","1","2.09087223453397"
"pi","2","2.13930932754912"
"pi","3","2.0513651578705"
"pi","4","1.81860924646411"
"pi","5","2.12052303690283"
"pi","6","1.83452010987186"
"pi","7","1.84443466279262"
"pi","8","2.0358668157645"
"pi","9","2.16668706361794"
"pi","10","1.82033731821353"
"pi","20","1.94453990694988"
"pi","30","2.05955512579505"
"pi","40","2.12875603480161"
"pi","50","1.81381009613859"
"pi","100","2.14851987391626"
