"exec","numthreads","time"
"jetson","1","11.9237310467327"
"jetson","2","22.4219436088118"
"jetson","3","25.6244135746185"
"jetson","4","26.5409686391915"
"jetson","5","25.5292207460659"
"jetson","6","27.562610767242"
"jetson","7","25.5536626916525"
"jetson","8","24.6768768615619"
"jetson","9","26.7905581143019"
"jetson","10","26.8802993390134"
"jetson","20","24.8128798696828"
"jetson","30","27.0770219427673"
"jetson","40","24.581590600983"
"jetson","50","24.9516042841905"
"jetson","100","20.9890678440134"
"jetson","300","15.6877345969978"
"wash","1","29.1928611777276"
"wash","2","42.1360150566027"
"wash","3","44.8515302220824"
"wash","4","54.562865059669"
"wash","5","55.1160560420058"
"wash","6","56.7180122227316"
"wash","7","60.3223627063025"
"wash","8","62.0008928128565"
"wash","9","60.2580248624611"
"wash","10","59.6564385702738"
"wash","20","60.0511635913799"
"wash","30","60.2032461590329"
"wash","40","66.5770096270356"
"wash","50","63.2634448000084"
"wash","100","62.8632974733145"
"wash","300","58.5578947265688"
"marszx3","1","4.68388243267739"
"marszx3","2","5.35100115001933"
"marszx3","3","6.52969542235702"
"marszx3","4","6.32097666674673"
"marszx3","5","6.90140491899936"
"marszx3","6","6.87884620653988"
"marszx3","7","7.22915082779801"
"marszx3","8","7.244003263182"
"marszx3","9","7.29326599379805"
"marszx3","10","7.28983851185237"
"marszx3","20","7.82236045202292"
"marszx3","30","7.85718261074535"
"marszx3","40","8.30140520653066"
"marszx3","50","7.71259081736366"
"marszx3","100","7.30961023696294"
"marszx3","300","6.5781467387193"
"pi","1","0.925315232152262"
"pi","2","1.40899422540155"
"pi","3","1.62085692760734"
"pi","4","1.70910191052812"
"pi","5","1.791293953129"
"pi","6","1.75519109467524"
"pi","7","1.89367512822784"
"pi","8","1.85122986147309"
"pi","9","1.93540214705127"
"pi","10","1.84875353493231"
"pi","20","1.73064835163821"
"pi","30","1.71317073382441"
"pi","40","2.11898735571992"
"pi","50","1.96299756140085"
"pi","100","1.87016422286074"
