"exec","split","cudacores","numthread","time"
"bimage_cuda","0","1","1","11.2384995029774"
"bimage_cuda","0","1","2","18.2521997703265"
"bimage_cuda","0","1","3","30.7864869898872"
"bimage_cuda","0","1","4","29.3941138287058"
"bimage_cuda","0","1","5","25.1507262062603"
"bimage_cuda","0","1","6","30.6540188185022"
"bimage_cuda","0","1","7","29.705882061707"
"bimage_cuda","0","1","8","30.4756486868805"
"bimage_cuda","0","1","9","30.1054594243635"
"bimage_cuda","0","1","10","29.4466821196311"
"bimage_cuda","0","1","20","33.7691808947482"
"bimage_cuda","0","1","30","31.6003524492643"
"bimage_cuda","0","1","40","27.2014224530515"
"bimage_cuda","0","1","50","29.416076179793"
"bimage_cuda","0","1","100","27.674983152854"
"bimage_cuda","0","1","300","16.6128042635101"
"bimage_cuda","0","64","1","10.9911508412718"
"bimage_cuda","0","64","2","17.3831015393316"
"bimage_cuda","0","64","3","27.2915584480564"
"bimage_cuda","0","64","4","28.3771531756163"
"bimage_cuda","0","64","5","26.4116940416539"
"bimage_cuda","0","64","6","28.0974908004132"
"bimage_cuda","0","64","7","29.299378609012"
"bimage_cuda","0","64","8","29.0387449454435"
"bimage_cuda","0","64","9","33.1287083447903"
"bimage_cuda","0","64","10","31.4684104361836"
"bimage_cuda","0","64","20","29.8376236520854"
"bimage_cuda","0","64","30","32.4434982959053"
"bimage_cuda","0","64","40","30.4547348737677"
"bimage_cuda","0","64","50","28.9806351395997"
"bimage_cuda","0","64","100","26.2261948107977"
"bimage_cuda","0","64","300","16.8832268798981"
"bimage_cuda","0","128","1","10.4145927885541"
"bimage_cuda","0","128","2","18.5616284735381"
"bimage_cuda","0","128","3","29.2704201427323"
"bimage_cuda","0","128","4","28.8852044205917"
"bimage_cuda","0","128","5","28.4870661597868"
"bimage_cuda","0","128","6","27.9916416957896"
"bimage_cuda","0","128","7","31.2519206909591"
"bimage_cuda","0","128","8","32.5070052596335"
"bimage_cuda","0","128","9","29.9884994104761"
"bimage_cuda","0","128","10","31.7086859603451"
"bimage_cuda","0","128","20","35.2576570816767"
"bimage_cuda","0","128","30","30.3010714458863"
"bimage_cuda","0","128","40","30.8206459288238"
"bimage_cuda","0","128","50","29.3462965707385"
"bimage_cuda","0","128","100","29.1553689611942"
"bimage_cuda","0","128","300","17.5553373492143"
"bimage_cuda","0","192","1","11.0307358585507"
"bimage_cuda","0","192","2","17.3788419550734"
"bimage_cuda","0","192","3","29.787288969469"
"bimage_cuda","0","192","4","28.4524431638737"
"bimage_cuda","0","192","5","24.9214972835568"
"bimage_cuda","0","192","6","33.3553107769897"
"bimage_cuda","0","192","7","33.4408642902845"
"bimage_cuda","0","192","8","29.0876653754975"
"bimage_cuda","0","192","9","30.597945042011"
"bimage_cuda","0","192","10","31.2580587182633"
"bimage_cuda","0","192","20","29.4432285481544"
"bimage_cuda","0","192","30","33.7190985536193"
"bimage_cuda","0","192","40","31.3698754040832"
"bimage_cuda","0","192","50","30.2525940338859"
"bimage_cuda","0","192","100","27.6746129705376"
"bimage_cuda","0","192","300","16.008392666662"
"bimage_cuda","0","256","1","10.9557664581176"
"bimage_cuda","0","256","2","18.3616904139429"
"bimage_cuda","0","256","3","28.0446302245393"
"bimage_cuda","0","256","4","28.530399140284"
"bimage_cuda","0","256","5","25.9471353065265"
"bimage_cuda","0","256","6","33.2188758510953"
"bimage_cuda","0","256","7","30.9902468528113"
"bimage_cuda","0","256","8","31.376781808997"
"bimage_cuda","0","256","9","32.8666452303103"
"bimage_cuda","0","256","10","31.2959169781914"
"bimage_cuda","0","256","20","32.4808728260146"
"bimage_cuda","0","256","30","30.0414572109511"
"bimage_cuda","0","256","40","33.0637717497624"
"bimage_cuda","0","256","50","29.4294512290229"
"bimage_cuda","0","256","100","26.191792016218"
"bimage_cuda","0","256","300","16.0997972767193"
"bimage_cuda","0","512","1","10.544213203991"
"bimage_cuda","0","512","2","19.2201242388831"
"bimage_cuda","0","512","3","26.7633835875334"
"bimage_cuda","0","512","4","29.4487344160979"
"bimage_cuda","0","512","5","27.1934953159204"
"bimage_cuda","0","512","6","28.9266059690051"
"bimage_cuda","0","512","7","30.9712426849796"
"bimage_cuda","0","512","8","30.106018343597"
"bimage_cuda","0","512","9","37.6357710440414"
"bimage_cuda","0","512","10","28.5322714255959"
"bimage_cuda","0","512","20","31.5843000761182"
"bimage_cuda","0","512","30","35.2249524169601"
"bimage_cuda","0","512","40","29.3560745057171"
"bimage_cuda","0","512","50","26.5674696389171"
"bimage_cuda","0","512","100","27.5119310074135"
"bimage_cuda","0","512","300","16.8309838214973"
"bimage_cuda","0.1","1","1","13.1944485677096"
"bimage_cuda","0.1","1","2","19.0038378250488"
"bimage_cuda","0.1","1","3","27.8351232864002"
"bimage_cuda","0.1","1","4","26.9701467445684"
"bimage_cuda","0.1","1","5","28.2458746900015"
"bimage_cuda","0.1","1","6","29.9942261114735"
"bimage_cuda","0.1","1","7","32.0367012449462"
"bimage_cuda","0.1","1","8","28.1830262088052"
"bimage_cuda","0.1","1","9","29.9192330304343"
"bimage_cuda","0.1","1","10","28.3426627931694"
"bimage_cuda","0.1","1","20","30.4582442852719"
"bimage_cuda","0.1","1","30","32.1481386227737"
"bimage_cuda","0.1","1","40","23.7932273371492"
"bimage_cuda","0.1","1","50","21.602860218693"
"bimage_cuda","0.1","1","100","16.1348572885319"
"bimage_cuda","0.1","1","300","11.4894545955903"
"bimage_cuda","0.1","64","1","11.9200758911498"
"bimage_cuda","0.1","64","2","19.9257036928307"
"bimage_cuda","0.1","64","3","26.8833825747291"
"bimage_cuda","0.1","64","4","27.5284667286363"
"bimage_cuda","0.1","64","5","28.2706823600366"
"bimage_cuda","0.1","64","6","28.5182488274247"
"bimage_cuda","0.1","64","7","32.3292061509548"
"bimage_cuda","0.1","64","8","29.44201493299"
"bimage_cuda","0.1","64","9","30.3372439726216"
"bimage_cuda","0.1","64","10","32.540590318849"
"bimage_cuda","0.1","64","20","28.8105146854396"
"bimage_cuda","0.1","64","30","39.1958065713076"
"bimage_cuda","0.1","64","40","30.7036980557395"
"bimage_cuda","0.1","64","50","25.4161147486749"
"bimage_cuda","0.1","64","100","24.7763009725937"
"bimage_cuda","0.1","64","300","15.0814473564485"
"bimage_cuda","0.1","128","1","11.1867209148053"
"bimage_cuda","0.1","128","2","17.893979958146"
"bimage_cuda","0.1","128","3","28.8962221079216"
"bimage_cuda","0.1","128","4","29.5734036523154"
"bimage_cuda","0.1","128","5","25.9195164455012"
"bimage_cuda","0.1","128","6","28.5248380026908"
"bimage_cuda","0.1","128","7","31.5106025299863"
"bimage_cuda","0.1","128","8","35.8302648692613"
"bimage_cuda","0.1","128","9","31.3849388909086"
"bimage_cuda","0.1","128","10","29.1891686778815"
"bimage_cuda","0.1","128","20","30.681905346322"
"bimage_cuda","0.1","128","30","28.7824035897414"
"bimage_cuda","0.1","128","40","31.6889078787604"
"bimage_cuda","0.1","128","50","30.2506569434333"
"bimage_cuda","0.1","128","100","24.164035136118"
"bimage_cuda","0.1","128","300","15.3665734513247"
"bimage_cuda","0.1","192","1","10.3549129143195"
"bimage_cuda","0.1","192","2","22.861375477517"
"bimage_cuda","0.1","192","3","27.9239389135912"
"bimage_cuda","0.1","192","4","28.5229124555756"
"bimage_cuda","0.1","192","5","26.9433085844075"
"bimage_cuda","0.1","192","6","30.1600291144814"
"bimage_cuda","0.1","192","7","33.4757540692569"
"bimage_cuda","0.1","192","8","30.5728122095583"
"bimage_cuda","0.1","192","9","31.4837504492994"
"bimage_cuda","0.1","192","10","30.6584358985758"
"bimage_cuda","0.1","192","20","28.6405751027481"
"bimage_cuda","0.1","192","30","26.9415664365558"
"bimage_cuda","0.1","192","40","28.9526802219898"
"bimage_cuda","0.1","192","50","32.5801526054348"
"bimage_cuda","0.1","192","100","27.1129089982322"
"bimage_cuda","0.1","192","300","15.5890153562194"
"bimage_cuda","0.1","256","1","11.6125113971961"
