"exec","split","cudacores","time"
"bimage_cuda","0","1","29.7029114793832"
"bimage_cuda","0","64","30.5497270636468"
"bimage_cuda","0","128","34.937386380708"
"bimage_cuda","0","192","29.0457034143224"
"bimage_cuda","0","256","29.2669792380049"
"bimage_cuda","0","512","30.6969434030222"
"bimage_cuda","0.1","1","31.8662975133135"
"bimage_cuda","0.1","64","30.1711913396612"
"bimage_cuda","0.1","128","31.1543625973184"
"bimage_cuda","0.1","192","32.3381623192499"
"bimage_cuda","0.1","256","29.7168430608943"
"bimage_cuda","0.1","512","31.9077313496651"
"bimage_cuda","0.2","1","27.5480069935207"
"bimage_cuda","0.2","64","33.0279168467147"
"bimage_cuda","0.2","128","30.2485523546986"
"bimage_cuda","0.2","192","33.4559680428593"
"bimage_cuda","0.2","256","31.6740696006005"
"bimage_cuda","0.2","512","38.9683771619331"
"bimage_cuda","0.3","1","24.2174533571848"
"bimage_cuda","0.3","64","38.5801724919512"
"bimage_cuda","0.3","128","35.6312733310608"
"bimage_cuda","0.3","192","34.7760163725485"
"bimage_cuda","0.3","256","42.9078353998224"
"bimage_cuda","0.3","512","42.1284116114328"
"bimage_cuda","0.4","1","22.9588527614334"
"bimage_cuda","0.4","64","49.1276163526184"
"bimage_cuda","0.4","128","40.3471739830663"
"bimage_cuda","0.4","192","40.6296787614449"
"bimage_cuda","0.4","256","39.5106994974239"
"bimage_cuda","0.4","512","38.2852300687092"
"bimage_cuda","0.5","1","19.5909347520653"
"bimage_cuda","0.5","64","47.748575102938"
"bimage_cuda","0.5","128","41.6714415193408"
"bimage_cuda","0.5","192","42.0005418069893"
"bimage_cuda","0.5","256","48.2467919903892"
"bimage_cuda","0.5","512","41.3905286053392"
"bimage_cuda","0.6","1","15.6884114149927"
"bimage_cuda","0.6","64","49.4159854124011"
"bimage_cuda","0.6","128","48.8386574253074"
"bimage_cuda","0.6","192","47.0230859840639"
"bimage_cuda","0.6","256","52.6442320347171"
"bimage_cuda","0.6","512","44.4705008638395"
"bimage_cuda","0.7","1","13.1503217664564"
"bimage_cuda","0.7","64","55.3374848744208"
"bimage_cuda","0.7","128","51.3426971003356"
"bimage_cuda","0.7","192","53.9261858368265"
"bimage_cuda","0.7","256","51.1853678095222"
"bimage_cuda","0.7","512","53.7769332807514"
"bimage_cuda","0.8","1","12.7379907815161"
"bimage_cuda","0.8","64","57.9349101284707"
"bimage_cuda","0.8","128","42.7353775563769"
"bimage_cuda","0.8","192","60.1602669511579"
"bimage_cuda","0.8","256","50.779636688626"
"bimage_cuda","0.8","512","63.0511723314642"
"bimage_cuda","0.9","1","11.0882323916098"
"bimage_cuda","0.9","64","70.9568771405325"
"bimage_cuda","0.9","128","66.5622379111882"
"bimage_cuda","0.9","192","66.2047779988282"
"bimage_cuda","0.9","256","51.8160220321726"
"bimage_cuda","0.9","512","78.5999772060066"
"bimage_cuda","1","1","8.8579752115469"
"bimage_cuda","1","64","45.1379981448283"
"bimage_cuda","1","128","42.9108427117364"
"bimage_cuda","1","192","48.7952453912891"
"bimage_cuda","1","256","50.1074805457707"
"bimage_cuda","1","512","41.4172714163533"
