"exec","split","numthread","time"
"bimage_cuda","0","1","10.8703253524612"
"bimage_cuda","0","2","18.345801853721"
"bimage_cuda","0","3","25.8330068328303"
"bimage_cuda","0","4","27.9690159241592"
"bimage_cuda","0","5","26.5453132922117"
"bimage_cuda","0","6","26.8226193360686"
"bimage_cuda","0","7","30.3960144745821"
"bimage_cuda","0","8","29.4550665414499"
"bimage_cuda","0","9","27.0377690595994"
"bimage_cuda","0","10","30.5781720776441"
"bimage_cuda","0","20","28.6824981308572"
"bimage_cuda","0","30","23.8865199211586"
"bimage_cuda","0","40","27.7298154673213"
"bimage_cuda","0","50","27.8011126932004"
"bimage_cuda","0","100","26.698621950628"
"bimage_cuda","0","300","17.2899152822968"
"bimage_cuda","0.1","1","11.2316727180423"
"bimage_cuda","0.1","2","18.196866438943"
"bimage_cuda","0.1","3","27.1296308018976"
"bimage_cuda","0.1","4","25.6537757868548"
"bimage_cuda","0.1","5","26.9319282048658"
"bimage_cuda","0.1","6","28.1857137891089"
"bimage_cuda","0.1","7","29.0582370658155"
"bimage_cuda","0.1","8","29.9040379422433"
"bimage_cuda","0.1","9","29.623968160159"
"bimage_cuda","0.1","10","29.6628520238964"
"bimage_cuda","0.1","20","28.7510128742244"
"bimage_cuda","0.1","30","30.592250676981"
"bimage_cuda","0.1","40","26.7298917706682"
"bimage_cuda","0.1","50","27.2199700217397"
"bimage_cuda","0.1","100","21.4433366975546"
"bimage_cuda","0.1","300","14.7392696888393"
"bimage_cuda","0.2","1","11.8616692136306"
"bimage_cuda","0.2","2","20.9399233598805"
"bimage_cuda","0.2","3","26.6440488296602"
"bimage_cuda","0.2","4","27.2714256819561"
"bimage_cuda","0.2","5","29.581087430355"
"bimage_cuda","0.2","6","30.6697506804851"
"bimage_cuda","0.2","7","30.0291282544068"
"bimage_cuda","0.2","8","27.7642684045865"
"bimage_cuda","0.2","9","32.4916374648075"
"bimage_cuda","0.2","10","31.957883770242"
"bimage_cuda","0.2","20","34.5796213070405"
"bimage_cuda","0.2","30","27.8273645955223"
"bimage_cuda","0.2","40","29.9867608450869"
"bimage_cuda","0.2","50","27.5444659495312"
"bimage_cuda","0.2","100","24.0713088453234"
"bimage_cuda","0.2","300","15.2483498744044"
"bimage_cuda","0.3","1","12.1708964250629"
"bimage_cuda","0.3","2","20.981757411019"
"bimage_cuda","0.3","3","30.5254808907946"
"bimage_cuda","0.3","4","29.9059607065582"
"bimage_cuda","0.3","5","30.2534177538148"
"bimage_cuda","0.3","6","30.9460198260834"
"bimage_cuda","0.3","7","33.0212458695925"
"bimage_cuda","0.3","8","33.5154151358966"
"bimage_cuda","0.3","9","33.4732888733672"
"bimage_cuda","0.3","10","34.5046313841475"
"bimage_cuda","0.3","20","36.5052546271931"
"bimage_cuda","0.3","30","38.7417706022279"
"bimage_cuda","0.3","40","33.9453299146614"
"bimage_cuda","0.3","50","30.4872936581856"
"bimage_cuda","0.3","100","27.8245384604683"
"bimage_cuda","0.3","300","15.9989931300323"
"bimage_cuda","0.4","1","16.5968767997238"
"bimage_cuda","0.4","2","23.5494611294557"
"bimage_cuda","0.4","3","32.8059413746892"
"bimage_cuda","0.4","4","30.2333561595172"
"bimage_cuda","0.4","5","32.9157242254793"
"bimage_cuda","0.4","6","37.2306594480555"
"bimage_cuda","0.4","7","32.9121311921432"
"bimage_cuda","0.4","8","32.6626067046533"
"bimage_cuda","0.4","9","36.4467349192523"
"bimage_cuda","0.4","10","37.1760801664993"
"bimage_cuda","0.4","20","38.4209501757118"
"bimage_cuda","0.4","30","31.5687124595394"
"bimage_cuda","0.4","40","27.2959288122177"
"bimage_cuda","0.4","50","28.4272752125057"
